Player_Name,Nation,Position,Club,Age,Born,Matches_Played,Starts,Minutes_Played,Ninety_Mins_Played,Golas,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Made,Penalty_Attempted,Yellow_Card,Red_Card,Expected_Goals,Non_Penalty_Expected_Goals,Expected_Assists,Non_Penalty_Expected_Goals_Assits,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_90,Assists_90,Goals_Assists_90,Non_Penalty_Goals_90,Non_Penalty_Goals_Assists_90,Expected_Goals_90,Expected_Assists_90,Expected_Goals_Assists_90,Non_Penalty_Expected_Goals_90,Non_penalty_Expected_Goals_Assists_90
Jarrad Branthwaite,ENG,DF,Everton,21,2002,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2,74,6,0.09,0.00,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
Ben Brereton,CHI,"FW,MF",Sheffield Utd,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,23,37,78,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55
Rhian Brewster,ENG,"FW,MF",Sheffield Utd,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Armando Broja,ALB,FW,Chelsea,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.20,0.00,0.20,0.20,0.20,0.47,0.03,0.50,0.47,0.50
Armando Broja,ALB,FW,Fulham,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,7,0.00,1.02,1.02,0.00,1.02,0.00,0.41,0.41,0.00,0.41
Andre Brooks,ENG,"MF,DF",Sheffield Utd,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
David Brooks,WAL,"FW,MF",Bournemouth,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03
Jacob Brown,SCO,"MF,FW",Luton Town,25,1998,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30
Josh Brownhill,ENG,MF,Burnley,27,1995,33,23,2252,25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16
Jacob Bruun Larsen,DEN,"MF,FW",Burnley,24,1998,32,16,1249,13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61,38,146,0.43,0.00,0.43,0.36,0.36,0.36,0.10,0.46,0.30,0.41
Hugo Bueno,ESP,"DF,MF",Wolves,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22,8,40,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13
Santiago Bueno,URU,DF,Wolves,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Facundo Buonanotte,ARG,"FW,MF",Brighton,18,2004,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28
Reece Burke,ENG,DF,Luton Town,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.15,0.07,0.15
Dan Burn,ENG,DF,Newcastle Utd,31,1992,33,32,2726,30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14,75,25,0.07,0.07,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14
Mason Burstow,ENG,FW,Chelsea,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moisés Caicedo,ECU,MF,Chelsea,21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09
Tom Cairney,SCO,MF,Fulham,32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.30,0.06,0.30,0.07,0.14,0.20,0.07,0.20
Dominic Calvert-Lewin,ENG,FW,Everton,26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.60
Thomas Cannon,IRL,FW,Everton,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Diego Carlos,BRA,DF,Aston Villa,30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4,59,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Cesare Casadei,ITA,"FW,MF",Chelsea,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
Casemiro,BRA,"MF,DF",Manchester Utd,31,1992,25,24,1982,22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.20,0.16,0.20
Kaelan Casey,ENG,DF,West Ham,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matty Cash,POL,DF,Aston Villa,25,1997,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.10,0.27,0.18,0.27
Timothy Castagne,BEL,DF,Fulham,27,1995,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.10,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12
Jonny Castro,ESP,MF,Wolves,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trevoh Chalobah,ENG,DF,Chelsea,24,1999,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,31,9,0.09,0.00,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02
Calum Chambers,ENG,"MF,DF",Aston Villa,28,1995,5,1,152,1.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,5,1,0.00,0.59,0.59,0.00,0.59,0.00,0.06,0.06,0.00,0.06
Youssef Chermiti,POR,FW,Everton,19,2004,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,5,15,0.00,0.00,0.00,0.00,0.00,0.31,0.34,0.65,0.31,0.65
Ben Chilwell,ENG,DF,Chelsea,26,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22,25,59,0.00,0.12,0.12,0.00,0.12,0.14,0.26,0.41,0.14,0.41
Tawanda Chirewa,ZIM,"MF,FW",Wolves,19,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,7,8,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
Leon Chiwome,ENG,FW,Wolves,17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Tahith Chong,NED,"MF,FW",Luton Town,23,1999,33,20,1982,22.0,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0.00,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15
Ryan Christie,SCO,MF,Bournemouth,28,1995,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0.00,0.15,0.15,0.00,0.15,0.07,0.17,0.24,0.07,0.24
Carney Chukwuemeka,ENG,"MF,FW",Chelsea,19,2003,9,2,227,2.5,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,4,12,19,0.40,0.40,0.79,0.40,0.79,0.06,0.13,0.19,0.06,0.19
Bobby Clark,ENG,MF,Liverpool,18,2005,5,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Jordan Clark,ENG,MF,Luton Town,29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,1.0,1.0,1.3,2.2,21,51,39,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16
Nathaniel Clyne,ENG,DF,Crystal Palace,32,1991,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
Séamus Coleman,IRL,DF,Everton,34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,5,22,16,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
Nathan Collins,IRL,DF,Brentford,22,2001,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13
Levi Colwill,ENG,DF,Chelsea,20,2003,23,20,1797,20.0,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,23,73,27,0.05,0.05,0.10,0.05,0.10,0.06,0.06,0.12,0.06,0.12
Lewis Cook,ENG,MF,Bournemouth,26,1997,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15,0.00,0.10,0.10,0.00,0.10,0.01,0.14,0.15,0.01,0.15
Jack Cork,ENG,MF,Burnley,34,1989,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maxwel Cornet,CIV,"MF,FW",West Ham,26,1996,7,1,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,2,8,0.80,0.00,0.80,0.80,0.80,0.32,0.13,0.46,0.32,0.46
Vladimír Coufal,CZE,DF,West Ham,30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,68,119,126,0.00,0.20,0.20,0.00,0.20,0.01,0.11,0.12,0.01,0.12
